"pop","CAR","CBI","CHL","CLK","COT","CPL","CYH","DCK","DEN","DPR","DUN","EDM","FBK","FIS","FNO","FRE","FTM","GAL","GAM","GIL","GPR","GRA","HAY","HBY","HST","HWK","INU","JKH","KAP","KUU","LAB","LON","LOV","LPD","MBK","MEL","MGR","MMT","MSG","MTN","NBY","NEG","NOM","NWL","OFR","OUT","POR","RAD","RMP","RNA","ROS","SKN","SLC","SOU","SRD","SSR","STL","STO","TIM","TUR","USDA_1","USDA_10","USDA_12","USDA_13","USDA_14","USDA_15","USDA_16","USDA_17","USDA_18","USDA_2","USDA_21","USDA_3","USDA_4","USDA_5","USDA_6","USDA_7","USDA_9","WHR","WLK","WOL","WTR"
"GPR",0.0843,0.2205,0.0938,0.0929,0.1962,0.1022,0,0.0917,0.079,0.1233,0.0957,0.0786,0.1004,0.3291,0.0256,0.1909,0.0507,0.0919,0.1207,0.1008,0,0.0974,0.079,0.0558,0.1198,0.3525,0.1787,0.3533,0.0761,0.235,0.3168,0.1298,0.0886,0.1239,0.343,0.0384,0.2722,0.0899,0.2526,0.1957,0.0883,0.2464,0.137,0.1096,0.0752,0.0256,0.0715,0.1847,0.1232,0.12,0.1705,0.0691,0.082,0.0872,0.0619,0.3858,0.0491,0.0838,0.1372,0.0545,0.1132,0.1094,0.1096,0.0833,0.101,0.1093,0.1083,0.1349,0.0427,0.1028,0.1122,0.1132,0.0982,0.131,0.0835,0.0959,0.1044,0.104,0.0021,0.0922,0.088
"GRA",0.0018,0.1921,0.0366,6e-04,0.153,0.0613,0.1067,0.0174,0.0015,0.0285,0.007,0.0034,0.0214,0.3082,0.1548,0.155,0.0032,0.0155,0.047,0.0237,0.0974,0,0.0015,0,0.0081,0.3314,0.123,0.5635,0.0067,0.1653,0.2815,0.0324,0,0.0501,0.3229,0.0117,0.2341,0,0.4737,0.156,0.0173,0.3133,0.0928,0.0716,0.0079,0.029,0.0213,0.1306,0.2744,0.0209,0.2083,0.0081,0.0184,0.002,0.008,0.5899,0.0384,0.0143,0.0373,6e-04,0.0588,0.0309,0.0416,0.0037,0.0413,0.031,0.0431,0.0426,0.0575,0.0074,0.0927,0.0341,0.0114,0.0391,0.0066,0.0413,0.0161,0.0423,0.1336,0.0172,0.0187
"HAY",0,0.1937,0.055,0,0.1517,0.0467,0.0958,0,0,0.0476,0.0061,0.0023,0.0103,0.3262,0.144,0.1637,0,0,0.0485,0.0159,0.079,0.0015,0,0,0.0226,0.3467,0.1086,0.5721,0.0011,0.1943,0.2951,0.0581,0,0.0673,0.3399,0.0015,0.2449,0,0.4762,0.158,0.0217,0.3251,0.0528,0.0398,0.0099,0.0275,0.0101,0.1399,0.2581,0.0287,0.2164,0.0058,0.0099,0.0096,0,0.5975,0.0283,0,0.0464,0,0.0711,0.0334,0.0453,0.0038,0.0485,0.043,0.0273,0.0515,0.0551,0.0086,0.0976,0.0589,0.0048,0.0586,0.0202,0.0256,0.0428,0.0354,0.1316,0.0159,0.0201
"HBY",0,0.1911,0.0379,0,0.1353,0.0391,0.0657,0,0,0.0271,0.0064,0,0.0153,0.3134,0.1113,0.1654,0,0.0025,0.0415,0,0.0558,0,0,0,0.0124,0.3349,0.1057,0.5246,0,0.1849,0.2888,0.0359,0,0.0493,0.3316,0,0.2416,0,0.4275,0.1638,0.0139,0.2951,0.0758,0.0535,0,0.0052,0.0072,0.1287,0.2166,0.0171,0.1977,0,0.0021,0.003,0.0033,0.5483,0.0146,0,0.0347,0,0.0526,0.0167,0.0243,0,0.0443,0.0191,0.0245,0.0502,0.0332,0.0102,0.0787,0.0395,0.0017,0.0446,0.0067,0.0166,0.0332,0.0385,0.1007,0.0141,0.0183
"HST",0.04,0.1806,0.024,0.0159,0.1924,0.0383,0.1264,0.0276,0.0264,0.0077,0,0.0189,0.0436,0.3106,0.1666,0.1461,0.0112,0.0355,0.0131,0.035,0.1198,0.0081,0.0226,0.0124,0,0.3319,0.1579,0.5903,0,0.1522,0.2694,0.0031,0.0166,0.025,0.323,0.0275,0.2223,0.0191,0.4981,0.1597,0,0.3128,0.1398,0.1062,0.0245,0.0491,0.0119,0.107,0.296,0.0263,0.2084,0.0194,0.0011,0,0.0209,0.613,0.054,0.0171,0.0066,0.0141,0.0518,0.026,0.012,0,0.0504,0.0076,0.036,0.0296,0.0485,0.0079,0.0925,0.0043,0,0.0241,0.004,0.0165,0.0109,0.0664,0.1609,0.054,0.0101
"HWK",0.3648,0.0793,0.2644,0.3692,0.5077,0.3022,0.3588,0.3581,0.3813,0.3005,0.3243,0.3541,0.3679,0.1004,0.3633,0.1085,0.3219,0.396,0.2759,0.3952,0.3525,0.3314,0.3467,0.3349,0.3319,0,0.4965,0.65,0.2857,0.1047,0.15,0.3198,0.3486,0.2516,0.0338,0.348,0.0879,0.3599,0.5774,0.1593,0.29,0.292,0.4883,0.4522,0.3571,0.2939,0.2998,0.1235,0.4653,0.3269,0.2016,0.3471,0.3113,0.2974,0.3218,0.6788,0.2919,0.3502,0.3092,0.3516,0.2609,0.3158,0.2928,0.2787,0.2905,0.3292,0.3742,0.3122,0.2594,0.3147,0.3208,0.2762,0.3481,0.2784,0.282,0.3056,0.256,0.4188,0.3646,0.4005,0.2611
"INU",0.1174,0.3446,0.2136,0.1039,0.0173,0.2226,0.1806,0.1189,0.0998,0.1745,0.1628,0.1274,0.121,0.4653,0.2323,0.3342,0.1218,0.0914,0.2147,0.1101,0.1787,0.123,0.1086,0.1057,0.1579,0.4965,0,0.6256,0.1281,0.3579,0.4699,0.2062,0.1115,0.2375,0.4861,0.1216,0.4031,0.1253,0.5335,0.2878,0.1625,0.4361,0.1456,0.0732,0.101,0.1372,0.1597,0.3045,0.3436,0.171,0.3375,0.1239,0.1425,0.159,0.1347,0.6489,0.1761,0.1064,0.2195,0.097,0.1958,0.1733,0.1947,0.1444,0.1966,0.1615,0.1371,0.2469,0.19,0.137,0.2536,0.2069,0.1498,0.2453,0.1822,0.1755,0.2197,0.1102,0.2331,0.1096,0.1737
"JKH",0.5568,0.5616,0.5119,0.5717,0.6392,0.5431,0.3354,0.5665,0.5606,0.5562,0.5788,0.5607,0.5843,0.6351,0.2927,0.5644,0.5198,0.5842,0.566,0.5778,0.3533,0.5635,0.5721,0.5246,0.5903,0.65,0.6256,0,0.5412,0.5994,0.6465,0.5712,0.566,0.5503,0.6365,0.5063,0.6114,0.5702,0.0854,0.5633,0.5263,0.4722,0.6241,0.5917,0.5443,0.4302,0.5239,0.5658,0.35,0.58,0.4492,0.543,0.5315,0.5525,0.5403,0.0523,0.4854,0.5572,0.5961,0.5317,0.5227,0.561,0.5445,0.5377,0.5478,0.5697,0.5677,0.6019,0.4356,0.5632,0.5546,0.5532,0.5811,0.5815,0.5483,0.5459,0.5674,0.5781,0.3106,0.5764,0.5383
"KAP",0.0206,0.1512,0.0138,0.0103,0.1559,0.0169,0.085,0.0065,0.0144,0.0107,0.0031,0.0045,0.0252,0.2675,0.1304,0.1144,0,0.0172,0.0081,0.0111,0.0761,0.0067,0.0011,0,0,0.2857,0.1281,0.5412,0,0.1278,0.2453,0.0123,0.0054,0.0175,0.2825,0,0.1886,0.002,0.4449,0.1241,0,0.2811,0.1121,0.0746,0.0061,0.0216,0,0.0875,0.2267,0.0323,0.17,0,0,0,0.0042,0.564,0.0269,0.0014,0.0142,0,0.0315,0.0132,0.0092,0,0.0355,0.0129,0.0204,0.036,0.015,0.0069,0.0542,0.0121,0,0.0287,0,0.0017,0.0085,0.0486,0.1251,0.0355,0.0104
"KUU",0.2075,0.0782,0.1086,0.221,0.3737,0.1455,0.237,0.2052,0.2201,0.1338,0.1591,0.1983,0.2135,0.1099,0.2491,0.0089,0.1663,0.2367,0.1152,0.2268,0.235,0.1653,0.1943,0.1849,0.1522,0.1047,0.3579,0.5994,0.1278,0,0.1002,0.148,0.1908,0.0986,0.077,0.1948,0.0414,0.2074,0.5227,0.0552,0.1323,0.2903,0.3464,0.3094,0.2018,0.1653,0.1405,0.0476,0.3647,0.178,0.1753,0.1931,0.1436,0.1266,0.1695,0.6277,0.1449,0.1875,0.1277,0.2015,0.1029,0.1424,0.1293,0.1233,0.1188,0.1755,0.2074,0.1515,0.1201,0.1592,0.1812,0.1138,0.1797,0.1267,0.1086,0.1421,0.0882,0.2622,0.2496,0.2383,0.1119
"LAB",0.3139,0.1349,0.2086,0.3209,0.4913,0.2454,0.3176,0.306,0.3297,0.251,0.265,0.3011,0.3105,0.1305,0.3304,0.0848,0.2674,0.3491,0.2259,0.3353,0.3168,0.2815,0.2951,0.2888,0.2694,0.15,0.4699,0.6465,0.2453,0.1002,0,0.2568,0.2923,0.2007,0.1432,0.3035,0.1169,0.3096,0.5779,0.1152,0.214,0.308,0.437,0.4101,0.3096,0.2697,0.2227,0.1496,0.4401,0.2785,0.2045,0.3062,0.2409,0.2458,0.2628,0.6726,0.2305,0.2849,0.2462,0.3045,0.2096,0.2545,0.2408,0.2347,0.2383,0.2821,0.3268,0.2259,0.2153,0.2735,0.2927,0.217,0.2824,0.2029,0.2086,0.2399,0.2057,0.3756,0.3286,0.3578,0.2083
"LON",0.0735,0.195,0.0028,0.052,0.2457,0.0349,0.1307,0.0698,0.0628,0.0284,0.0241,0.0571,0.0962,0.3144,0.1587,0.1282,0.0395,0.0827,0,0.0772,0.1298,0.0324,0.0581,0.0359,0.0031,0.3198,0.2062,0.5712,0.0123,0.148,0.2568,0,0.0509,0.006,0.3163,0.0523,0.2098,0.0463,0.4781,0.1725,0,0.2827,0.1959,0.1625,0.0594,0.0524,0.018,0.1089,0.2991,0.0584,0.1873,0.0535,0.0099,0.0057,0.0692,0.5949,0.0633,0.0492,0.02,0.0407,0.0253,0.0096,0,0,0.0244,0.0328,0.0363,0.0039,0.0074,0.0129,0.0543,0,0.0251,0,0,0,0,0.1292,0.1673,0.0986,0.0107
"LOV",0,0.2061,0.0591,0.0013,0.1441,0.0545,0.1064,0.0031,0,0.0383,0.017,2e-04,0.0211,0.3267,0.1513,0.1714,0,0.0084,0.0679,0.0064,0.0886,0,0,0,0.0166,0.3486,0.1115,0.566,0.0054,0.1908,0.2923,0.0509,0,0.0645,0.342,0.0032,0.252,0,0.4718,0.1671,0.0242,0.3247,0.0687,0.0396,0,0.0364,0.0087,0.1392,0.2583,0.0124,0.2229,0.006,0.0129,0.0125,0.0056,0.5897,0.0267,0.0014,0.0547,0,0.0654,0.0313,0.0487,0.0146,0.0465,0.0227,0.0318,0.0623,0.0647,0.0186,0.102,0.056,0.0156,0.0599,0.0148,0.0337,0.0487,0.0491,0.1426,0.0259,0.0203
